"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00406593121023066,1.69798686014434,0.647,0.364,1,"1","Dnajc1"
0.00441229106026812,0.665385200631536,0.412,0.153,1,"1","Wls"
0.00480266791909101,1.44555328575232,0.412,0.132,1,"1","Prdx1"
0.00483795648722534,1.60226844766542,0.353,0.097,1,"1","Atp1b2"
0.00486796764805397,0.756951277357431,0.353,0.083,1,"1","Mrpl36"
0.00504038130856723,1.83107051701014,0.529,0.27,1,"1","Grm3"
0.00577435981600826,0.603863197432541,0.353,0.088,1,"1","Tcerg1l"
0.00609208553554182,1.09305758271908,0.294,0.032,1,"1","Aldh1a1"
0.00653743220430841,0.692678308102379,0.412,0.157,1,"1","Ssr1"
0.00725256578880894,1.31847589917273,0.294,0.034,1,"1","Ctsz"
0.00760441879550501,0.783015469246442,0.412,0.165,1,"1","Cpq"
0.00770407584900833,1.47235732985126,0.294,0.031,1,"1","Etnppl"
0.00783042817316913,0.687988738848983,0.412,0.165,1,"1","Lamp1"
0.00790412236145618,1.03834542100774,0.471,0.216,1,"1","Utrn"
0.00831719697497054,1.37537997482635,0.765,0.612,1,"1","Nebl"
0.008406618537099,1.09839974798374,0.294,0.034,1,"1","Padi2"
0.00863164347335001,1.94018048773765,0.647,0.364,1,"1","B3galt1"
0.00878484482652326,1.39520890748573,0.353,0.069,1,"1","Tspan15"
0.00902736667787449,1.93831959229358,0.529,0.275,1,"1","Myo10"
0.00950242689192247,0.814924187444346,0.412,0.174,1,"1","Syndig1"
0.00977246467079444,0.488652344149198,0.412,0.177,1,"1","Flrt2"
1.10393947883183e-37,3.05711760029494,1,0.416,2.20787895766367e-34,"2","Csmd1"
2.03125921493578e-37,2.89429210773665,0.769,0.147,4.06251842987156e-34,"2","Arpp21"
1.6107020075238e-31,2.52482153983558,0.962,0.361,3.2214040150476e-28,"2","Lrp1b"
3.42903982760039e-31,2.23822015373692,1,0.729,6.85807965520078e-28,"2","Nrxn3"
3.526277081583e-26,2.39984757161727,0.885,0.363,7.052554163166e-23,"2","Cntn4"
1.29710475079988e-24,2.75228931042275,0.808,0.309,2.59420950159977e-21,"2","Col25a1"
1.57211412625186e-24,2.96228667570495,0.635,0.154,3.14422825250371e-21,"2","Ptprt"
9.174985155788e-24,2.66491641592216,0.769,0.292,1.8349970311576e-20,"2","Sorcs3"
2.10688580186368e-23,2.62973830680615,0.712,0.217,4.21377160372735e-20,"2","Fam19a1"
2.61052488932001e-21,2.19209910885301,0.788,0.319,5.22104977864002e-18,"2","Spock3"
3.79318574441522e-18,2.17327821606539,0.481,0.09,7.58637148883044e-15,"2","Gad2"
1.33811582174775e-17,1.61843539845968,0.942,0.717,2.67623164349551e-14,"2","Grm8"
3.73303079389605e-17,2.3796973785083,0.615,0.208,7.4660615877921e-14,"2","Unc13c"
1.27745249888705e-15,1.87120991006125,0.788,0.468,2.5549049977741e-12,"2","Rora"
5.07363932273277e-15,1.39832164586711,0.904,0.698,1.01472786454655e-11,"2","Dab1"
5.81600773077588e-15,1.88992311578534,0.635,0.245,1.16320154615518e-11,"2","Pcdh15"
7.96194010291609e-14,2.04001340891757,0.385,0.068,1.59238802058322e-10,"2","Serpine2"
5.86448307395426e-13,1.66787171123767,0.75,0.467,1.17289661479085e-09,"2","Tcf4"
6.96900805302226e-12,2.10404646350474,0.481,0.168,1.39380161060445e-08,"2","Kcnip1"
8.76458579025929e-12,1.92984487294744,0.538,0.216,1.75291715805186e-08,"2","Pex5l"
1.67201806911342e-11,1.18261736898837,0.923,0.693,3.34403613822684e-08,"2","Gabrg3"
4.39077979892589e-11,1.13321465697914,0.865,0.7,8.78155959785178e-08,"2","Magi2"
9.38948597519300e-11,1.07521047085225,0.885,0.668,1.8778971950386e-07,"2","Il1rapl1"
1.06855216556596e-09,1.12706670525427,0.808,0.564,2.13710433113193e-06,"2","Asic2"
4.24354019878321e-09,0.991521258661324,0.846,0.704,8.48708039756641e-06,"2","Gria4"
3.79986100900891e-08,0.673499601253117,1,0.894,7.59972201801782e-05,"2","Tenm2"
7.37017804896158e-08,0.694874118991375,0.942,0.849,0.000147403560979232,"2","Ctnna2"
5.25538872812525e-07,1.63642099584475,0.25,0.069,0.00105107774562505,"2","Lgr5"
7.46460893096768e-07,0.979605099002316,0.788,0.691,0.00149292178619354,"2","Robo2"
1.7590127708033e-06,0.81539475433883,0.865,0.753,0.0035180255416066,"2","Pcdh7"
2.74523708333321e-06,1.75436922515874,0.327,0.137,0.00549047416666642,"2","Galnt14"
6.07382062101699e-06,0.586301569996089,0.981,0.907,0.012147641242034,"2","Opcml"
6.70863537648986e-06,1.52735947594353,0.327,0.144,0.0134172707529797,"2","Btbd11"
8.30019904657857e-06,0.855853616554016,0.769,0.593,0.0166003980931571,"2","Tenm4"
1.39988451043764e-05,1.84274424532987,0.288,0.12,0.0279976902087528,"2","Nfib"
1.4936316646669e-05,1.79657423951945,0.25,0.091,0.0298726332933381,"2","St6gal1"
2.31996678187953e-05,1.40266728660723,0.462,0.283,0.0463993356375906,"2","Tnr"
4.31018170906774e-05,0.680165373061659,0.904,0.845,0.0862036341813548,"2","Negr1"
7.04111454120091e-05,0.440823443129593,0.962,0.838,0.140822290824018,"2","Syt1"
0.00011735564775613,1.27887074040946,0.231,0.091,0.234711295512261,"2","Necab1"
0.000122967434595356,1.5379521317474,0.269,0.126,0.245934869190712,"2","Cdh4"
0.000155935624443296,0.778638886851965,0.673,0.576,0.311871248886592,"2","Cadm1"
0.000156099258352568,1.24153821925868,0.5,0.363,0.312198516705137,"2","B3galt1"
0.000232499508851725,1.10421091572239,0.5,0.363,0.464999017703449,"2","Rasgrf1"
0.000239041562466428,0.930646460043806,0.5,0.367,0.478083124932857,"2","Scn1a"
0.00026524914214048,1.33345190342091,0.25,0.116,0.53049828428096,"2","Ldb2"
0.00052263683018488,0.597105513665439,0.692,0.644,1,"2","Dgkb"
0.000695383016613626,0.395222873023655,0.942,0.874,1,"2","Ntm"
0.000780589153634365,1.04621344216823,0.519,0.42,1,"2","Slc24a3"
0.000821623954067621,1.34097079100672,0.231,0.119,1,"2","Epha4"
0.00100743691523698,1.4431797884511,0.385,0.261,1,"2","Specc1"
0.00106100510662097,0.74535837010161,0.115,0.046,1,"2","Slc32a1"
0.00118628032887515,1.10327487644939,0.288,0.17,1,"2","Lgi1"
0.00149275544169674,1.15165783595628,0.288,0.167,1,"2","Luzp2"
0.00244768010335125,0.65245295672085,0.923,0.846,1,"2","Celf2"
0.00278415770966547,0.601059633254406,0.673,0.606,1,"2","Gria3"
0.00280152866195952,1.02419477845028,0.308,0.205,1,"2","Nr2f2"
0.00314998180207655,1.35040555192981,0.25,0.147,1,"2","Man1a"
0.00392153194143344,1.09536165696787,0.346,0.245,1,"2","Pcdh19"
0.00397673482537074,1.32044196843857,0.269,0.161,1,"2","Zfp536"
0.00468310019015814,0.699458581189891,0.635,0.595,1,"2","Pbx1"
0.00485556067957536,1.01161910008122,0.154,0.086,1,"2","Hs6st2"
0.00544108450182021,0.369438148046126,0.731,0.661,1,"2","Htr2c"
0.00753305269100091,1.046167314287,0.442,0.377,1,"2","Atp1b1"
0.00812643369518902,1.35637447101153,0.346,0.255,1,"2","Ryr3"
0.00818609822647611,0.49716414184439,0.808,0.81,1,"2","Grip1"
0.00829276919636578,0.906225061358371,0.135,0.078,1,"2","Ecel1"
5.36207883602151e-87,0.885206390036016,1,0.892,1.0724157672043e-83,"3","Lrrtm4"
8.53951731286599e-79,1.10257922899809,0.979,0.753,1.7079034625732e-75,"3","Cdh18"
2.43517233292964e-50,1.00524986523446,0.912,0.641,4.87034466585929e-47,"3","Brinp3"
9.81357299061608e-50,1.4992944006782,0.71,0.358,1.96271459812322e-46,"3","Erbb4"
2.27749266878506e-48,1.15315664431571,0.611,0.257,4.55498533757013e-45,"3","Cadps2"
1.07489306806691e-44,0.970209073540438,0.606,0.254,2.14978613613383e-41,"3","Edil3"
2.14851472195927e-41,0.529988360359423,0.995,0.912,4.29702944391855e-38,"3","Rbfox1"
7.51417904752016e-40,0.797180291400505,0.899,0.656,1.50283580950403e-36,"3","Etl4"
8.50224958715637e-40,1.03494022250333,0.848,0.587,1.70044991743127e-36,"3","Htr2c"
8.60925380538726e-40,0.802872979963405,0.643,0.301,1.72185076107745e-36,"3","Hs3st5"
8.68976123104299e-39,0.343236909729409,0.933,0.658,1.7379522462086e-35,"3","Nrxn3"
1.06328344812557e-38,0.754991490855407,0.788,0.456,2.12656689625113e-35,"3","Frmd5"
2.45581839107713e-38,1.04448028400665,0.624,0.308,4.91163678215426e-35,"3","Zfhx3"
3.74278951835735e-38,0.606871951073662,0.963,0.733,7.48557903671469e-35,"3","Epha5"
4.63717755831518e-38,0.84465517174935,0.806,0.499,9.27435511663035e-35,"3","Lcorl"
1.11133474687111e-36,0.536398956776595,0.929,0.67,2.22266949374223e-33,"3","Dmd"
1.45707536940399e-36,0.79413321229798,0.779,0.463,2.91415073880797e-33,"3","Pcdh11x"
1.13840766189938e-34,0.72065919527719,0.793,0.453,2.27681532379876e-31,"3","Plcb1"
2.43395515296699e-34,0.851778847450617,0.654,0.36,4.86791030593399e-31,"3","Tle4"
9.64933578333827e-34,0.66725810482716,0.843,0.575,1.92986715666765e-30,"3","Rit2"
2.59006128770337e-33,0.658731177232065,0.806,0.534,5.18012257540675e-30,"3","Zfp804a"
6.71630600961911e-33,0.879304629302728,0.611,0.325,1.34326120192382e-29,"3","Olfm3"
2.20209453382645e-32,0.645948308126472,1,0.905,4.40418906765291e-29,"3","Pmch"
4.19560734220465e-32,0.556797752652243,0.774,0.428,8.3912146844093e-29,"3","Rmst"
7.53386075646966e-29,0.673441589284943,0.742,0.451,1.50677215129393e-25,"3","Grik1"
1.39295672334605e-28,1.03415126702337,0.452,0.198,2.78591344669211e-25,"3","Stxbp6"
1.71017905396992e-28,0.536784451379849,0.811,0.53,3.42035810793984e-25,"3","Dpp10"
1.58123278824583e-27,0.6223091416486,0.452,0.204,3.16246557649166e-24,"3","Adcy8"
1.22485984031504e-26,0.839149875419997,0.525,0.281,2.44971968063009e-23,"3","Il1rap"
1.72454876881927e-26,0.524283289802582,0.908,0.683,3.44909753763854e-23,"3","Ncam2"
1.8951742688513e-24,0.310851903474296,1,0.938,3.79034853770259e-21,"3","Lsamp"
2.55197500628718e-24,0.567720962839902,0.73,0.472,5.10395001257436e-21,"3","Tenm1"
1.23940699307664e-23,0.682162812208208,0.606,0.353,2.47881398615328e-20,"3","Ablim1"
2.79248597873479e-23,0.376098218705408,0.823,0.572,5.58497195746959e-20,"3","Dgkb"
1.26699057916235e-22,0.605122823201789,0.834,0.597,2.53398115832469e-19,"3","Nxph1"
2.19186569980588e-22,0.423807315899052,0.8,0.589,4.38373139961176e-19,"3","Hdac9"
1.42807308244401e-21,0.800950781490332,0.493,0.269,2.85614616488802e-18,"3","Plxdc2"
1.87204791431156e-21,0.72530524952508,0.493,0.272,3.74409582862312e-18,"3","Dach1"
3.93301856912816e-21,0.549817026681518,0.753,0.548,7.86603713825631e-18,"3","Gria3"
2.38064344599343e-20,0.492239229576315,0.751,0.525,4.76128689198686e-17,"3","Fstl5"
1.44858455781958e-19,0.568981781197334,0.583,0.351,2.89716911563916e-16,"3","Vat1l"
1.83125994488067e-19,0.730873632581788,0.463,0.254,3.66251988976135e-16,"3","Chn2"
1.9661963794769e-19,0.479061910334856,0.737,0.515,3.9323927589538e-16,"3","Tmeff2"
9.06958431872635e-19,0.444416320327722,0.834,0.626,1.81391686374527e-15,"3","Ppp3ca"
1.02110266564415e-17,0.451717474797247,0.85,0.629,2.0422053312883e-14,"3","Robo2"
3.46295877912078e-17,0.512044091963789,0.585,0.379,6.92591755824156e-14,"3","Pde10a"
9.0661313112877e-16,0.516176177610742,0.611,0.406,1.81322626225754e-12,"3","Lin7a"
9.13361624663182e-16,0.779067770256148,0.334,0.171,1.82672324932636e-12,"3","Pou6f2"
1.24182958158791e-15,0.438089925771711,0.749,0.553,2.48365916317582e-12,"3","Baz2b"
3.17873934609055e-15,0.456064008259711,0.498,0.302,6.3574786921811e-12,"3","Elmo1"
4.46261797133774e-15,0.419961305207714,0.488,0.284,8.92523594267547e-12,"3","Cdh13"
1.08025210427195e-14,0.627583982688238,0.281,0.125,2.16050420854389e-11,"3","Chodl"
1.34753656161859e-14,0.555774465184296,0.401,0.217,2.69507312323718e-11,"3","Syt4"
2.26935835510099e-14,0.437180382146023,0.717,0.531,4.53871671020198e-11,"3","Khdrbs2"
4.21030370004487e-14,0.334854587766575,0.724,0.525,8.42060740008975e-11,"3","Rab3c"
1.94978801901622e-13,0.296580719165944,0.823,0.642,3.89957603803243e-10,"3","Gabra2"
2.39564894368108e-13,0.383961803811375,0.788,0.621,4.79129788736217e-10,"3","Pde4b"
2.56624872958891e-13,0.463292877591001,0.512,0.336,5.13249745917783e-10,"3","Fam135b"
7.6537634137158e-13,0.290372665471234,0.816,0.612,1.53075268274316e-09,"3","Car10"
1.05870194365079e-12,0.341453905063013,0.811,0.636,2.11740388730159e-09,"3","Pam"
1.06652425791914e-12,0.356464973317611,0.571,0.389,2.13304851583827e-09,"3","Srgap1"
1.71592173456316e-12,0.374192980599264,0.631,0.443,3.43184346912632e-09,"3","Ncald"
2.03156696028339e-12,0.28176913422207,0.705,0.513,4.06313392056677e-09,"3","Ptprm"
